Country Name,Tour_2000,Tour_2001,Tour_2002,Tour_2003,Tour_2004,Tour_2005,Tour_2006,Tour_2007,Tour_2008,Tour_2009,Tour_2010,Tour_2011,Tour_2012,Tour_2013,Tour_2014,Tour_2015,Tour_2016,Tour_2017,Tour_2018,Tour_2019,Tour_2020,latitude,longitude
Aruba,1211000,1178000,1225000,1184000,1304000,1286000,1285000,1254000,1383000,1420000,1394000,1469000,1481000,1667000,1739000,1832000,1758000,1863000,1897000,1951000,,12.517399,-69.972795
American Samoa,44000,36000,,,,24500,25299.99924,24100.00038,24299.99924,23500,23100.00038,22600.00038,22600.00038,20799.99924,21600.00038,20299.99924,20100.00038,20000,20200.00076,19200.00076,899.9999762,-14.333216,-170.778926
Antigua and Barbuda,634000,624000,528000,623000,769000,712000,838000,935000,863000,944000,788000,848000,819000,777000,771000,894000,874000,1040000,1064000,1035000,384500,17.06938,-61.809739
"Bahamas, The",4204000,4183000,4406000,4594000,5004000,4779000,4731000,4601000,4394000,4645000,5255000,5588000,5940000,6151000,6320000,6112000,6265000,6136000,6622000,7250000,1794500,24.669637,-78.018505
Bermuda,539000,458000,484000,483000,478000,517000,635000,660000,550000,554000,580000,652000,610000,576000,580000,597000,642000,688000,766000,805000,51400.00153,32.296698,-64.764346
Barbados,1078000,1035000,1021000,1090000,1273000,1111000,1102000,1191000,1165000,1154000,1197000,1187000,1053000,1079000,1079000,1179000,1227000,1345000,1356000,966000,,13.144115,-59.555728
Caribbean small states,11115377.44,10923386.39,11075114.14,12223187.43,13943780.1,13151761.26,13524000,13774000,13494000,14132000,14853000,15421000,15540000,15674000,16644000,17200000,17638000,18488000,19669834.92,19819087.26,,38.884636,-77.015734
Cuba,1774000,1775000,1686000,1906000,2049000,2319000,2221000,2152000,2348000,2430000,2532000,2716000,2847000,2862000,3014000,3540000,4009000,4654000,4712000,4276000,1086000,21.329612,-77.967722
Curacao,514000,519000,545000,508000,452000,510000,572000,664000,773000,808000,762000,837000,908000,1071000,1129000,1072000,944000,1058000,1210000,1293000,,12.150201,-68.933415
Cayman Islands,1385000,1549000,1878000,2113000,1953000,1967000,2197000,2008000,1856000,1792000,1886000,1710000,1829000,1721000,1993000,2102000,2097000,2147000,2384000,2334000,660000,19.319996,-81.230744
Dominica,312000,276000,208000,254000,466000,381000,465000,437000,468000,608000,595000,418000,348000,311000,370000,358000,356000,230000,199000,322000,140000,15.460196,-61.356841
Dominican Republic,3161000,3090000,3058000,3680000,3907000,3981000,4268000,4365000,4455000,4489000,4478000,4654000,4901000,5114000,5576000,6129000,6769000,7296000,7551000,7550000,2748000,19.105937,-70.804224
Fiji,434000,446000,461000,451000,513000,547000,,542000,627000,605000,692000,734000,741000,769000,781000,869000,963000,1027000,1058000,969000,168000,-17.834016,177.972004
"Micronesia, Fed. Sts.",20500,15300.00019,19100.00038,18200.00076,19299.99924,19000,19100.00038,21100.00038,25700.00076,47500,44700.00076,35400.00153,38299.99924,42099.99847,35400.00153,31200.00076,29600.00038,,19200.00076,18000,,13.481,144.7345
Guam,1287000,1159000,1059000,910000,1160000,1228000,1212000,1225000,1142000,1053000,1197000,1160000,1308000,1334000,1343000,1409000,1536000,1545000,1549000,1667000,328000,13.427861,144.733813
Haiti,445000,499000,482000,518000,385000,480000,558000,868000,758000,826000,793000,946000,959000,1064000,1127599.976,1190000,1153000,1262000,1333000,938000,,19.251299,-72.294701
Jamaica,2230000,2117000,2131000,2483000,2515000,2615000,3016000,2880000,2859000,2753000,2832000,3077000,3306000,3274000,3504000,3692000,3837000,4276000,4319000,4233000,1329699.951,18.137123,-77.318767
St. Kitts and Nevis,247000,334000,240000,247000,383000,365000,350000,379000,533000,548000,624000,723000,666000,695000,818000,1036000,1055000,1194000,1278000,1107000,301399.9939,17.340311,-62.767596
Marshall Islands,5199.999809,5400.000095,6000,7199.999809,9000,9199.999809,5800.000191,7199.999809,6000,5400.000095,4599.999905,4599.999905,4599.999905,,4900.000095,6300.000191,5400.000095,6000,6800.000191,6099.999905,,8.710837,171.237308
Palau,58000,54000,59000,63000,89000,81000,82000,88000,81000,71000,85000,111000,120000,108000,140000,162000,138000,123000,106000,94000,18399.99962,7.497679,134.581978
Puerto Rico,4566000,4908000,4364000,4402000,4889000,5073000,5022000,5062000,5213000,4415000,4379000,4214000,4197000,4210000,4456000,5051000,5003000,4927000,4260000,4931000,3882000,18.234668,-66.481065
Solomon Islands,5199.999809,,,6599.999905,5599.999905,9399.999619,11500,13699.99981,16299.99924,18299.99924,20500,22899.99962,23899.99962,24399.99962,20100.00038,21600.00038,23200.00076,25700.00076,27899.99962,28899.99962,4400.000095,-8.078523,159.243596
Sao Tome and Principe,7099.999905,7500,9199.999809,10000,10600.00038,15800.00019,12300.00019,11800.00019,14500,15199.99981,8000,12199.99981,,,,25600.00038,28899.99962,28899.99962,33400.00153,,,0.252119,6.600203
Sint Maarten (Dutch part),1300000,1271000,1436000,1600000,1823000,1956000,1890000,1891000,1821000,1655000,1956000,2080000,2210000,2253000,2502000,2407000,2197000,1640000,1775000,1952000,,18.042123,-63.058205
Seychelles,140000,138000,135000,127000,126000,135000,151000,171000,173000,178000,191000,210000,216000,237000,239000,296000,333000,382000,405000,428000,124500,-4.681046,55.482794
Tonga,43000,38000,45000,51000,51000,60000,54000,65000,65000,74699.99695,65000,68400.00153,57200.00076,59700.00076,65800.00305,72599.99847,86699.99695,86599.99847,77300.00305,94000,,-21.230852,-175.14127
Trinidad and Tobago,503000,468000,451000,474000,501000,529000,534000,531000,482000,534000,490000,491000,504000,467000,455000,519000,492000,465000,501000,480000,141000,10.435364,-61.264793
British Virgin Islands,272000,296000,282000,278000,304000,337000,356000,358000,346000,309000,330000,338000,351000,366000,386000,393000,408000,335000,192000,302399.9939,83000,18.42785,-64.640814
Virgin Islands (U.S.),2396000,2497000,2337000,2395000,2620000,2602000,2571000,2606000,2435000,2245000,2531000,2686000,2640000,2702000,2814000,2643000,2574000,1954000,1922000,2074000,8612000,17.73951,-64.783592
Samoa,,,,,,,116000,122000,122000,129000,130000,128000,135000,125000,132000,139000,146000,158000,172000,181000,23899.99962,-13.63914,-172.438241
